index_col,constituent_col,coef
col_42,col_26,0.595536
col_42,col_28,0.404461
col_50,col_26,0.538075
col_50,col_28,0.23717
col_50,col_32,0.224753
col_11,col_28,0.466817
col_11,col_20,0.212762
col_11,col_26,0.18317
col_11,col_07,0.074628
col_11,col_22,0.062622
col_48,col_05,0.545363
col_48,col_45,0.134828
col_48,col_23,0.126882
col_48,col_04,0.096838
col_48,col_26,0.096089
col_46,col_15,0.295
col_46,col_34,0.237
col_46,col_32,0.112
col_46,col_09,0.122
col_46,col_23,0.084
col_46,col_05,0.08
col_46,col_37,0.031
col_46,col_20,0.026
col_46,col_04,0.012
col_30,col_26,0.219
col_30,col_19,0.214
col_30,col_34,0.148
col_30,col_40,0.146
col_30,col_09,0.126
col_30,col_45,0.079
col_30,col_24,0.067
